dep,semaine_glissante,pop,P,T,tx_pos
01,2020-12-29-2021-01-04,656955,1121,13643,8.22
01,2020-12-30-2021-01-05,656955,1170,13685,8.55
01,2020-12-31-2021-01-06,656955,1147,12861,8.92
01,2021-01-01-2021-01-07,656955,1188,12637,9.4
01,2021-01-02-2021-01-08,656955,1437,15108,9.51
01,2021-01-03-2021-01-09,656955,1414,14826,9.54
01,2021-01-04-2021-01-10,656955,1432,14853,9.64
01,2021-01-05-2021-01-11,656955,1379,14646,9.42
01,2021-01-06-2021-01-12,656955,1329,14320,9.28
01,2021-01-07-2021-01-13,656955,1358,14200,9.56
01,2021-01-08-2021-01-14,656955,1354,14008,9.67
01,2021-01-09-2021-01-15,656955,1336,14061,9.5
01,2021-01-10-2021-01-16,656955,1350,14090,9.58
01,2021-01-11-2021-01-17,656955,1314,13978,9.4
01,2021-01-12-2021-01-18,656955,1371,13908,9.86
01,2021-01-13-2021-01-19,656955,1407,13964,10.08
01,2021-01-14-2021-01-20,656955,1410,14159,9.96
01,2021-01-15-2021-01-21,656955,1434,14333,10.0
01,2021-01-16-2021-01-22,656955,1431,14518,9.86
01,2021-01-17-2021-01-23,656955,1465,14646,10.0
01,2021-01-18-2021-01-24,656955,1480,14665,10.09
01,2021-01-19-2021-01-25,656955,1521,15096,10.08
01,2021-01-20-2021-01-26,656955,1568,15598,10.05
01,2021-01-21-2021-01-27,656955,1568,15687,10.0
01,2021-01-22-2021-01-28,656955,1565,16458,9.51
01,2021-01-23-2021-01-29,656955,1608,17214,9.34
01,2021-01-24-2021-01-30,656955,1613,17369,9.29
01,2021-01-25-2021-01-31,656955,1607,17392,9.24
01,2021-01-26-2021-02-01,656955,1619,18207,8.89
01,2021-01-27-2021-02-02,656955,1589,18640,8.52
01,2021-01-28-2021-02-03,656955,1642,19579,8.39
01,2021-01-29-2021-02-04,656955,1668,20374,8.19
01,2021-01-30-2021-02-05,656955,1641,20642,7.95
01,2021-01-31-2021-02-06,656955,1600,20708,7.73
01,2021-02-01-2021-02-07,656955,1594,20695,7.7
01,2021-02-02-2021-02-08,656955,1472,19785,7.44
01,2021-02-03-2021-02-09,656955,1472,19035,7.73
01,2021-02-04-2021-02-10,656955,1417,18211,7.78
01,2021-02-05-2021-02-11,656955,1358,17189,7.9
01,2021-02-06-2021-02-12,656955,1314,16435,8.0
01,2021-02-07-2021-02-13,656955,1313,16367,8.02
01,2021-02-08-2021-02-14,656955,1314,16343,8.04
01,2021-02-09-2021-02-15,656955,1328,15801,8.4
01,2021-02-10-2021-02-16,656955,1273,15385,8.27
01,2021-02-11-2021-02-17,656955,1236,14728,8.39
01,2021-02-12-2021-02-18,656955,1257,14099,8.92
01,2021-02-13-2021-02-19,656955,1254,13585,9.23
01,2021-02-14-2021-02-20,656955,1261,13322,9.47
01,2021-02-15-2021-02-21,656955,1270,13333,9.53
01,2021-02-16-2021-02-22,656955,1315,13304,9.88
01,2021-02-17-2021-02-23,656955,1330,13975,9.52
01,2021-02-18-2021-02-24,656955,1379,14220,9.7
01,2021-02-19-2021-02-25,656955,1354,15028,9.01
01,2021-02-20-2021-02-26,656955,1374,16029,8.57
01,2021-02-21-2021-02-27,656955,1372,16187,8.48
01,2021-02-22-2021-02-28,656955,1358,16195,8.39
01,2021-02-23-2021-03-01,656955,1288,16734,7.7
01,2021-02-24-2021-03-02,656955,1242,16894,7.35
01,2021-02-25-2021-03-03,656955,1176,17001,6.92
01,2021-02-26-2021-03-04,656955,1141,17150,6.65
01,2021-02-27-2021-03-05,656955,1113,16913,6.58
01,2021-02-28-2021-03-06,656955,1111,16931,6.56
01,2021-03-01-2021-03-07,656955,1114,16998,6.55
01,2021-03-02-2021-03-08,656955,1121,17286,6.49
01,2021-03-03-2021-03-09,656955,1170,17704,6.61
01,2021-03-04-2021-03-10,656955,1180,18279,6.46
01,2021-03-05-2021-03-11,656955,1233,19073,6.46
01,2021-03-06-2021-03-12,656955,1296,20400,6.35
01,2021-03-07-2021-03-13,656955,1320,20646,6.39
01,2021-03-08-2021-03-14,656955,1331,20697,6.43
01,2021-03-09-2021-03-15,656955,1405,21138,6.65
01,2021-03-10-2021-03-16,656955,1501,21778,6.89
01,2021-03-11-2021-03-17,656955,1557,22018,7.07
01,2021-03-12-2021-03-18,656955,1624,22577,7.19
01,2021-03-13-2021-03-19,656955,1670,22761,7.34
01,2021-03-14-2021-03-20,656955,1707,23078,7.4
01,2021-03-15-2021-03-21,656955,1711,23064,7.42
01,2021-03-16-2021-03-22,656955,1789,23205,7.71
01,2021-03-17-2021-03-23,656955,1806,24278,7.44
01,2021-03-18-2021-03-24,656955,1929,25171,7.66
01,2021-03-19-2021-03-25,656955,2023,25807,7.84
01,2021-03-20-2021-03-26,656955,2151,26449,8.13
01,2021-03-21-2021-03-27,656955,2203,26836,8.21
01,2021-03-22-2021-03-28,656955,2205,26862,8.21
01,2021-03-23-2021-03-29,656955,2327,28209,8.25
01,2021-03-24-2021-03-30,656955,2439,28840,8.46
01,2021-03-25-2021-03-31,656955,2502,29425,8.5
01,2021-03-26-2021-04-01,656955,2615,31145,8.4
01,2021-03-27-2021-04-02,656955,2636,32327,8.15
01,2021-03-28-2021-04-03,656955,2650,32874,8.06
01,2021-03-29-2021-04-04,656955,2657,32895,8.08
01,2021-03-30-2021-04-05,656955,2162,27368,7.9
01,2021-03-31-2021-04-06,656955,2297,26360,8.71
01,2021-04-01-2021-04-07,656955,2268,25729,8.81
01,2021-04-02-2021-04-08,656955,2129,23090,9.22
01,2021-04-03-2021-04-09,656955,2066,20691,9.99
02,2020-05-13-2020-05-19,526050,66,1976,3.34
02,2020-05-14-2020-05-20,526050,66,1923,3.43
02,2020-05-15-2020-05-21,526050,53,1495,3.55
02,2020-05-16-2020-05-22,526050,47,1417,3.32
02,2020-05-17-2020-05-23,526050,42,1354,3.1
02,2020-05-18-2020-05-24,526050,41,1308,3.13
02,2020-05-19-2020-05-25,526050,51,1223,4.17
02,2020-05-20-2020-05-26,526050,51,1318,3.87
02,2020-05-21-2020-05-27,526050,41,1381,2.97
02,2020-05-22-2020-05-28,526050,50,1656,3.02
02,2020-05-23-2020-05-29,526050,43,1692,2.54
02,2020-05-24-2020-05-30,526050,44,1731,2.54
02,2020-05-25-2020-05-31,526050,43,1731,2.48
02,2020-05-26-2020-06-01,526050,29,1522,1.91
02,2020-05-27-2020-06-02,526050,29,1386,2.09
02,2020-05-28-2020-06-03,526050,29,1328,2.18
02,2020-05-29-2020-06-04,526050,26,1201,2.16
02,2020-05-30-2020-06-05,526050,31,1161,2.67
02,2020-05-31-2020-06-06,526050,43,1157,3.72
02,2020-06-01-2020-06-07,526050,47,1165,4.03
02,2020-06-02-2020-06-08,526050,53,1411,3.76
02,2020-06-03-2020-06-09,526050,55,1460,3.77
02,2020-06-04-2020-06-10,526050,57,1416,4.03
02,2020-06-05-2020-06-11,526050,54,1455,3.71
02,2020-06-06-2020-06-12,526050,58,1544,3.76
02,2020-06-07-2020-06-13,526050,44,1520,2.89
02,2020-06-08-2020-06-14,526050,40,1519,2.63
02,2020-06-09-2020-06-15,526050,38,1495,2.54
02,2020-06-10-2020-06-16,526050,33,1513,2.18
02,2020-06-11-2020-06-17,526050,37,1585,2.33
02,2020-06-12-2020-06-18,526050,34,1541,2.21
02,2020-06-13-2020-06-19,526050,24,1402,1.71
02,2020-06-14-2020-06-20,526050,24,1425,1.68
02,2020-06-15-2020-06-21,526050,24,1424,1.69
02,2020-06-16-2020-06-22,526050,26,1630,1.6
02,2020-06-17-2020-06-23,526050,26,1770,1.47
02,2020-06-18-2020-06-24,526050,16,1706,0.94
02,2020-06-19-2020-06-25,526050,19,1727,1.1
02,2020-06-20-2020-06-26,526050,20,1763,1.13
02,2020-06-21-2020-06-27,526050,20,1764,1.13
02,2020-06-22-2020-06-28,526050,20,1776,1.13
02,2020-06-23-2020-06-29,526050,16,1617,0.99
02,2020-06-24-2020-06-30,526050,14,1653,0.85
02,2020-06-25-2020-07-01,526050,16,1729,0.93
02,2020-06-26-2020-07-02,526050,16,1826,0.88
02,2020-06-27-2020-07-03,526050,18,2044,0.88
02,2020-06-28-2020-07-04,526050,20,2197,0.91
02,2020-06-29-2020-07-05,526050,20,2189,0.91
02,2020-06-30-2020-07-06,526050,20,2327,0.86
02,2020-07-01-2020-07-07,526050,21,2281,0.92
02,2020-07-02-2020-07-08,526050,22,2271,0.97
02,2020-07-03-2020-07-09,526050,22,2278,0.97
02,2020-07-04-2020-07-10,526050,24,2263,1.06
02,2020-07-05-2020-07-11,526050,23,2145,1.07
02,2020-07-06-2020-07-12,526050,24,2158,1.11
02,2020-07-07-2020-07-13,526050,24,2048,1.17
02,2020-07-08-2020-07-14,526050,20,1650,1.21
02,2020-07-09-2020-07-15,526050,17,1744,0.97
02,2020-07-10-2020-07-16,526050,14,1798,0.78
02,2020-07-11-2020-07-17,526050,12,1795,0.67
02,2020-07-12-2020-07-18,526050,11,1881,0.58
02,2020-07-13-2020-07-19,526050,10,1893,0.53
02,2020-07-14-2020-07-20,526050,8,1966,0.41
02,2020-07-15-2020-07-21,526050,12,2275,0.53
02,2020-07-16-2020-07-22,526050,19,2282,0.83
02,2020-07-17-2020-07-23,526050,21,2243,0.94
02,2020-07-18-2020-07-24,526050,22,2259,0.97
02,2020-07-19-2020-07-25,526050,23,2202,1.04
02,2020-07-20-2020-07-26,526050,23,2193,1.05
02,2020-07-21-2020-07-27,526050,26,2178,1.19
02,2020-07-22-2020-07-28,526050,26,2300,1.13
02,2020-07-23-2020-07-29,526050,20,2347,0.85
02,2020-07-24-2020-07-30,526050,16,2400,0.67
02,2020-07-25-2020-07-31,526050,14,2379,0.59
02,2020-07-26-2020-08-01,526050,17,2391,0.71
02,2020-07-27-2020-08-02,526050,17,2393,0.71
02,2020-07-28-2020-08-03,526050,26,2362,1.1
02,2020-07-29-2020-08-04,526050,26,2274,1.14
02,2020-07-30-2020-08-05,526050,28,2261,1.24
02,2020-07-31-2020-08-06,526050,29,2301,1.26
02,2020-08-01-2020-08-07,526050,33,2259,1.46
02,2020-08-02-2020-08-08,526050,28,2266,1.24
02,2020-08-03-2020-08-09,526050,29,2270,1.28
02,2020-08-04-2020-08-10,526050,24,2201,1.09
02,2020-08-05-2020-08-11,526050,29,2141,1.35
02,2020-08-06-2020-08-12,526050,32,2074,1.54
02,2020-08-07-2020-08-13,526050,33,2064,1.6
02,2020-08-08-2020-08-14,526050,27,2076,1.3
02,2020-08-09-2020-08-15,526050,27,1924,1.4
02,2020-08-10-2020-08-16,526050,27,1915,1.41
02,2020-08-11-2020-08-17,526050,25,2060,1.21
02,2020-08-12-2020-08-18,526050,25,2188,1.14
02,2020-08-13-2020-08-19,526050,32,2470,1.3
02,2020-08-14-2020-08-20,526050,41,2715,1.51
02,2020-08-15-2020-08-21,526050,54,2874,1.88
02,2020-08-16-2020-08-22,526050,68,3110,2.19
02,2020-08-17-2020-08-23,526050,68,3122,2.18
02,2020-08-18-2020-08-24,526050,70,3145,2.23
02,2020-08-19-2020-08-25,526050,71,3130,2.27
02,2020-08-20-2020-08-26,526050,83,3164,2.62
02,2020-08-21-2020-08-27,526050,87,3237,2.69
02,2020-08-22-2020-08-28,526050,99,3322,2.98
02,2020-08-23-2020-08-29,526050,93,3357,2.77
02,2020-08-24-2020-08-30,526050,92,3339,2.76
02,2020-08-25-2020-08-31,526050,105,3497,3.0
02,2020-08-26-2020-09-01,526050,124,3610,3.43
02,2020-08-27-2020-09-02,526050,115,3671,3.13
02,2020-08-28-2020-09-03,526050,115,3620,3.18
02,2020-08-29-2020-09-04,526050,112,3958,2.83
02,2020-08-30-2020-09-05,526050,114,4008,2.84
02,2020-08-31-2020-09-06,526050,117,4026,2.91
02,2020-09-01-2020-09-07,526050,122,4302,2.84
02,2020-09-02-2020-09-08,526050,118,4778,2.47
02,2020-09-03-2020-09-09,526050,131,4914,2.67
02,2020-09-04-2020-09-10,526050,152,5677,2.68
02,2020-09-05-2020-09-11,526050,178,5911,3.01
02,2020-09-06-2020-09-12,526050,192,6126,3.13
02,2020-09-07-2020-09-13,526050,195,6161,3.17
02,2020-09-08-2020-09-14,526050,214,6302,3.4
02,2020-09-09-2020-09-15,526050,225,6455,3.49
02,2020-09-10-2020-09-16,526050,248,7160,3.46
02,2020-09-11-2020-09-17,526050,262,7193,3.64
02,2020-09-12-2020-09-18,526050,251,7435,3.38
02,2020-09-13-2020-09-19,526050,254,7607,3.34
02,2020-09-14-2020-09-20,526050,248,7558,3.28
02,2020-09-15-2020-09-21,526050,246,7543,3.26
02,2020-09-16-2020-09-22,526050,252,7392,3.41
02,2020-09-17-2020-09-23,526050,238,6871,3.46
02,2020-09-18-2020-09-24,526050,238,6335,3.76
02,2020-09-19-2020-09-25,526050,238,5888,4.04
02,2020-09-20-2020-09-26,526050,248,5648,4.39
02,2020-09-21-2020-09-27,526050,255,5659,4.51
02,2020-09-22-2020-09-28,526050,248,5430,4.57
02,2020-09-23-2020-09-29,526050,246,5208,4.72
02,2020-09-24-2020-09-30,526050,244,4885,4.99
02,2020-09-25-2020-10-01,526050,262,4854,5.4
02,2020-09-26-2020-10-02,526050,280,4885,5.73
02,2020-09-27-2020-10-03,526050,273,4989,5.47
02,2020-09-28-2020-10-04,526050,269,5006,5.37
02,2020-09-29-2020-10-05,526050,307,5220,5.88
02,2020-09-30-2020-10-06,526050,368,5599,6.57
02,2020-10-01-2020-10-07,526050,413,5856,7.05
02,2020-10-02-2020-10-08,526050,455,6223,7.31
02,2020-10-03-2020-10-09,526050,501,6431,7.79
02,2020-10-04-2020-10-10,526050,542,6724,8.06
02,2020-10-05-2020-10-11,526050,543,6698,8.11
02,2020-10-06-2020-10-12,526050,598,7053,8.48
02,2020-10-07-2020-10-13,526050,666,7516,8.86
02,2020-10-08-2020-10-14,526050,712,7942,8.96
02,2020-10-09-2020-10-15,526050,791,8512,9.29
02,2020-10-10-2020-10-16,526050,888,9049,9.81
02,2020-10-11-2020-10-17,526050,913,9150,9.98
02,2020-10-12-2020-10-18,526050,915,9178,9.97
02,2020-10-13-2020-10-19,526050,1028,9740,10.55
02,2020-10-14-2020-10-20,526050,1138,9960,11.43
02,2020-10-15-2020-10-21,526050,1202,10061,11.95
02,2020-10-16-2020-10-22,526050,1349,10369,13.01
02,2020-10-17-2020-10-23,526050,1453,10679,13.61
02,2020-10-18-2020-10-24,526050,1522,10910,13.95
02,2020-10-19-2020-10-25,526050,1526,10952,13.93
02,2020-10-20-2020-10-26,526050,1559,11135,14.0
02,2020-10-21-2020-10-27,526050,1614,11504,14.03
02,2020-10-22-2020-10-28,526050,1702,12143,14.02
02,2020-10-23-2020-10-29,526050,1670,12338,13.54
