date,vac_statut,nb_pcr,nb_pcr_sympt,nb_pcr0,nb_pcr_sympt0,hc,hc_pcr,sc,sc_pcr,dc,dc_pcr,pourcent_parmi_vaccines
2021-10-17,Complet de 6 mois ou plus - sans rappel,2219.21,151.87,44.39,13.93,10.82,8.74,1.44,1.35,2.76,1.0,6.38
2021-10-18,Complet - avec 2 rappels de moins de 3 mois,10.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-19,Complet entre 3 mois et 6 mois - sans rappel,52253.26,7491.49,1485.41,739.44,45.69,34.55,12.12,6.87,6.71,5.29,50.23
2021-10-21,Complet - avec 1 rappel entre 3 mois et 6 mois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-23,Primo dose efficace,4451.13,262.62,66.29,22.25,5.94,4.9,0.8,0.55,1.31,1.0,3.4
2021-10-25,Complet - avec 3 rappels de moins de 3 mois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27,Complet - avec 1 rappel de moins de 3 mois,5242.56,382.74,45.46,6.91,3.67,2.32,1.39,1.37,3.28,2.0,4.34
2021-10-30,Complet - avec 2 rappels de moins de 3 mois,4.64,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-31,Complet entre 3 mois et 6 mois - sans rappel,14895.52,878.83,362.24,152.64,33.03,25.6,12.55,7.65,5.3,4.0,54.73
2021-10-31,Complet de 6 mois ou plus - sans rappel,3305.8,274.77,91.62,35.14,33.5,27.28,6.18,5.32,7.91,6.0,8.81
2021-11-03,Primo dose efficace,4686.61,509.47,136.37,66.46,6.82,4.26,3.02,2.88,3.36,2.2,3.11
2021-11-06,Complet - avec 3 rappels de moins de 3 mois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-08,Complet de moins de 3 mois - sans rappel,25985.47,3846.9,1269.58,652.82,23.71,18.82,2.47,0.82,4.6,4.42,24.64
2021-11-11,Primo dose récente,201.27,13.95,11.83,4.92,1.32,1.09,1.4,1.2,0.02,0.0,0.48
2021-11-13,Complet - avec 2 rappels de moins de 3 mois,10.45,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-15,Primo dose récente,1060.91,106.78,83.88,39.63,1.29,1.08,0.2,0.2,0.0,0.0,0.44
2021-11-15,Complet de 6 mois ou plus - sans rappel,26791.7,3631.98,1954.8,1020.0,67.25,54.26,14.51,10.99,5.73,3.18,11.75
2021-11-17,Primo dose efficace,4964.47,631.98,211.62,107.99,13.48,9.96,2.4,2.0,0.57,0.07,2.78
2021-11-19,Non-vaccinés,61966.33,10628.63,6497.38,2923.72,181.07,131.07,65.19,55.33,22.66,19.13,
2021-11-21,Non-vaccinés,8626.93,1394.24,957.38,362.64,135.56,104.84,52.81,40.03,18.81,15.25,
2021-11-23,Primo dose récente,1116.51,171.5,131.67,70.23,1.78,1.63,0.3,0.1,0.0,0.0,0.48
2021-11-24,Non-vaccinés,71665.18,15788.77,9103.9,4232.28,246.5,193.84,60.81,50.69,22.17,15.87,
2021-11-25,Primo dose efficace,5582.76,948.84,346.26,178.22,19.09,14.39,0.65,0.39,0.73,0.17,2.62
2021-11-26,Primo dose efficace,6047.38,869.82,331.32,157.45,23.29,17.15,3.26,2.14,2.16,1.16,2.57
2021-11-27,Complet - avec 1 rappel de moins de 3 mois,15481.61,1247.33,293.58,82.76,17.45,13.14,4.54,3.54,5.68,4.16,10.87
2021-11-27,Complet - avec 1 rappel entre 3 mois et 6 mois,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-27,Complet - avec 2 rappels de moins de 3 mois,10.38,0.15,0.11,0.0,0.34,0.34,0.0,0.0,0.0,0.0,0.01
2021-11-29,Primo dose efficace,7393.06,1057.52,535.26,236.96,22.21,15.39,5.86,4.68,1.84,0.59,2.49
2021-12-01,Complet - avec 1 rappel de moins de 3 mois,27850.96,3130.86,730.2,227.76,39.93,31.91,6.31,5.91,7.35,3.97,11.92
2021-12-02,Complet - avec 1 rappel entre 3 mois et 6 mois,182.05,22.93,10.08,3.58,1.19,1.17,0.06,0.06,0.1,0.1,0.08
2021-12-02,Complet - avec 2 rappels entre 3 mois et 6 mois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-02,Complet - avec 3 rappels de moins de 3 mois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-03,Complet - avec 1 rappel de moins de 3 mois,31259.49,3641.23,935.39,287.85,45.37,36.98,4.51,2.74,8.09,6.81,12.83
2021-12-03,Complet - avec 2 rappels entre 3 mois et 6 mois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-04,Primo dose récente,860.61,110.04,108.71,51.74,2.5,2.3,0.95,0.85,0.02,0.0,0.51
2021-12-05,Non-vaccinés,13048.93,2235.66,1876.58,657.87,311.59,226.0,105.82,87.45,45.21,34.41,
2021-12-05,Complet entre 3 mois et 6 mois - sans rappel,21735.17,2903.53,2191.18,856.02,143.06,111.32,39.05,30.92,13.97,12.94,59.42
2021-12-05,Complet de 6 mois ou plus - sans rappel,6453.71,863.69,615.23,220.23,119.21,93.72,28.6,24.94,39.06,34.04,12.98
2021-12-07,Complet - avec 2 rappels de moins de 3 mois,80.63,7.81,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
2021-12-09,Primo dose efficace,6475.86,1047.22,528.7,233.59,24.57,20.41,4.07,3.36,5.12,3.87,2.31
2021-12-11,Complet de 6 mois ou plus - sans rappel,22037.02,3076.3,2106.99,969.04,107.81,82.66,25.24,20.69,36.06,31.59,12.51
2021-12-13,Primo dose récente,1770.58,327.5,381.87,196.21,9.62,6.48,3.74,3.06,0.0,0.0,0.48
2021-12-14,Complet de 6 mois ou plus - sans rappel,39998.82,7396.66,4801.28,2213.74,185.02,151.53,30.21,26.49,37.59,31.57,12.48
2021-12-14,Complet - avec 1 rappel de 6 mois ou plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-15,Complet - avec 2 rappels de moins de 3 mois,98.4,9.68,4.71,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.02
2021-12-17,Primo dose récente,1495.9,272.5,277.83,143.99,14.14,11.02,2.1,1.94,0.01,0.0,0.49
2021-12-18,Non-vaccinés,47391.36,9412.36,8596.16,3709.68,405.07,309.59,101.32,80.08,80.52,64.65,
2021-12-18,Primo dose efficace,3951.42,408.34,316.46,127.48,19.7,14.99,3.39,2.2,3.66,3.33,2.1
2021-12-18,Complet - avec 1 rappel entre 3 mois et 6 mois,1803.64,187.7,60.55,16.47,12.39,9.93,0.69,0.0,0.81,0.1,1.13
2021-12-20,Complet - avec 2 rappels de moins de 3 mois,127.89,12.0,10.2,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.02
2021-12-21,Complet - avec 3 rappels de moins de 3 mois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-22,Non-vaccinés,77373.98,19071.67,18125.74,8250.72,545.54,435.53,178.71,145.49,76.02,56.89,
2021-12-22,Complet - avec 1 rappel de moins de 3 mois,104962.45,14176.28,6445.76,2111.6,112.35,88.14,25.96,18.53,14.34,11.8,29.61
2021-12-23,Complet entre 3 mois et 6 mois - sans rappel,209889.96,37971.33,36496.22,16354.99,194.66,159.06,43.99,33.62,26.06,22.0,47.81
2021-12-23,Complet - avec 1 rappel de 6 mois ou plus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-26,Complet - avec 2 rappels de moins de 3 mois,35.04,4.13,2.29,2.06,0.04,0.04,0.0,0.0,0.0,0.0,0.03
2021-12-26,Complet - avec 2 rappels entre 3 mois et 6 mois,2.04,1.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-27,Complet - avec 2 rappels de moins de 3 mois,228.7,39.8,29.22,13.24,1.04,1.04,0.0,0.0,0.0,0.0,0.03
2021-12-28,Complet de moins de 3 mois - sans rappel,22356.84,5830.0,6389.08,3118.4,70.73,59.56,10.76,8.94,2.96,2.42,6.07
2021-12-28,Complet - avec 3 rappels de moins de 3 mois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-29,Complet de 6 mois ou plus - sans rappel,48560.34,14007.44,16355.95,8071.88,177.87,142.06,27.04,21.3,41.42,35.72,9.13
2021-12-30,Primo dose récente,2385.58,623.37,815.14,417.68,8.31,6.13,4.38,2.19,1.01,1.0,0.57
2021-12-30,Complet entre 3 mois et 6 mois - sans rappel,220758.15,62857.04,73764.05,37020.54,288.71,237.65,42.73,35.74,21.26,17.41,41.72
2021-12-30,Complet - avec 1 rappel entre 3 mois et 6 mois,15565.81,1918.48,1595.1,581.69,36.61,31.67,2.36,2.12,2.85,2.4,2.05
2021-12-30,Complet - avec 2 rappels entre 3 mois et 6 mois,20.91,0.03,5.7,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,Complet entre 3 mois et 6 mois - sans rappel,154224.9,42541.16,54130.18,26944.03,273.54,225.67,36.08,28.18,26.83,22.99,40.87
2022-01-01,Primo dose récente,318.27,59.03,73.98,26.41,8.04,6.37,4.12,3.3,1.35,1.35,0.56
2022-01-02,Complet - avec 1 rappel entre 3 mois et 6 mois,2565.43,328.75,232.39,70.16,32.42,30.69,4.08,3.86,9.49,9.06,2.33
2022-01-02,Complet - avec 2 rappels entre 3 mois et 6 mois,1.09,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03,Primo dose récente,2777.57,825.45,1018.57,563.98,10.68,8.75,4.24,3.5,1.98,1.53,0.52
2022-01-04,Complet - avec 1 rappel de 6 mois ou plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-05,Complet entre 3 mois et 6 mois - sans rappel,201703.39,66952.32,72867.19,37621.42,338.38,277.26,48.23,37.72,19.51,13.74,37.99
