dep,hosp_rate_mean,hosp_rate_max,new_hosp_rate_mean,new_hosp_rate_max,rea_rate_mean,rea_rate_max,icu_pressure_mean,icu_pressure_max,cfr_mean,cfr_max,tx_pos_mean,tx_pos_max,tx_pos_7j_mean,couv_complet_max,couv_complet_lag14_mean,population,is_dom
12,24.22313947643979,66.9756,0.4523957023060797,9.3121,1.0422275392670157,4.6561,5.1047824083769635,31.25,17.1167032460733,33.3333,10.872572383073496,70.0,10.859776418242491,78.1,57.93741307371349,279206,0
13,41.921820732984294,80.7103,0.4536364779874214,5.7266,6.898730261780105,17.3265,15.812521151832462,28.8612,13.262178010471203,15.4373,8.703314794215794,27.32,8.693587848932676,72.0,52.098331015299024,2043110,0
14,19.642915015641293,45.2448,0.33486037735849056,5.7637,2.4673634554973822,8.5014,13.282992356020943,50.0,17.43456687631027,30.7692,8.803236929922136,37.22,8.782252237936332,83.1,60.72461752433936,694002,0
15,22.31206167539267,60.1277,0.6114280922431866,15.8958,2.4055339267015707,10.3668,12.77435890985325,100.0,16.26682658227848,21.6216,9.181982082866742,60.0,9.18284673446687,83.0,61.540333796940196,144692,0
16,10.196447434554974,36.0452,0.28917138364779876,5.3926,1.2277014659685863,4.2573,15.613441719077569,100.0,17.812924109014677,66.6667,12.33706013363029,100.0,12.335786296943695,81.5,59.38011126564673,352335,0
17,14.958399162303664,45.1589,0.32387589098532493,8.6904,1.5188669109947646,4.0348,12.250583664921466,46.1538,19.875601465968586,33.0645,11.11476084538376,54.72,11.091286111552519,84.6,61.89680111265647,644391,0
18,27.71673895287958,71.9789,0.5329700209643605,8.5454,1.2685650261780106,5.5874,6.490352375923971,100.0,24.943086722866177,73.3333,13.796387959866221,80.0,13.763289475078128,81.0,59.303198887343534,304256,0
19,17.669267120418848,68.3332,0.5391604821802936,7.8687,1.8079033507853404,6.2121,13.853578603603605,100.0,18.235749947423763,100.0,13.016726057906459,100.0,13.004133667037447,81.4,60.01043115438109,241464,0
21,32.022105340314134,73.3163,0.5197273584905661,11.2219,4.333059267015707,15.1495,15.02907057591623,51.6129,18.73384282722513,25.8103,11.93162402669633,63.64,11.919680915302717,78.2,57.30389429763561,534670,0
22,11.68959727748691,38.7432,0.258901572327044,4.0079,0.7657495287958115,3.3399,7.694974240837696,100.0,14.348196335078534,36.0,10.92599555061179,54.55,10.910829810901001,85.0,62.52489568845619,598814,0
23,24.445063455497383,90.4499,0.665549895178197,15.2242,5.150080209424083,15.2242,22.843088721804513,75.0,14.64432271762208,44.4444,11.726383219954648,100.0,11.687238889771704,80.5,59.45285118219749,111664,0
24,24.29516607329843,56.3077,0.3397595387840671,6.0158,1.49191109947644,5.7751,7.230938534031414,100.0,16.42970272251309,22.5371,12.023147942157953,66.67,11.977547804438794,80.8,59.143810848400555,415574,0
25,15.270105759162302,43.1667,0.3362655136268344,10.515,3.955445654450262,14.9423,25.19840167539267,62.5,17.32368855359001,100.0,11.324338153503893,47.62,11.327830631919063,73.3,53.42280945757997,542085,0
26,23.973266492146596,82.1821,0.4541772536687631,6.945,3.3339367432150313,13.697,13.36303937172775,31.3433,20.89291983385254,100.0,11.859187986651834,45.45,11.845009454949945,75.3,54.93963838664812,518361,0
27,24.440743169968716,48.0192,0.32779025157232705,4.4862,1.0759314136125655,3.6554,5.0258330188679246,100.0,21.434294099051634,100.0,11.155261401557286,58.82,11.172308173102389,80.3,58.0778859527121,601843,0
28,27.110424816753927,64.1687,0.5395512578616353,9.2329,2.9438914136125653,10.387,13.130357591623037,60.0,15.981398744769873,100.0,12.640300333704115,61.11,12.667647624344509,79.8,58.11738525730181,433233,0
29,14.332550366492146,48.4033,0.23742306079664569,6.3804,1.4007219895287957,4.7303,12.130617591623036,44.6809,16.19475267015707,30.7692,12.000567296996664,52.85,11.96752621960909,84.1,61.356328233657855,909028,0
2A,30.15792554973822,70.5887,0.6079336477987421,37.5201,2.494203738317757,15.2624,10.820216876310273,37.5,19.215919646569645,100.0,8.151852678571428,50.0,8.100124821229938,69.6,51.83630041724618,157249,0
2B,9.90864272251309,32.3351,0.23696886792452831,13.7353,1.1491174869109948,3.72,16.1230666316894,100.0,13.801918992654775,18.8095,9.01376811594203,50.0,8.932597462789342,64.9,48.01738525730181,349465,0
30,22.03373308900524,50.817,0.3438200209643606,10.1634,3.563519371727749,10.9554,16.479211832460734,64.7059,17.834630052356022,32.1429,10.60511679644049,38.53,10.577085412362942,76.9,55.8643949930459,757620,0
31,19.559722303664923,53.4622,0.27122746331236897,4.4612,3.595919162303665,10.4334,18.844196963350786,47.1616,11.511631727748691,14.678,10.523870967741935,42.19,10.53946734466868,74.3,54.00152990264256,1389767,0
32,23.730368062827225,93.6726,0.5617047169811321,19.3625,1.351829214659686,5.2331,11.150103769633507,100.0,18.105877402323124,50.0,12.029280089988752,75.0,12.04620745272525,80.4,59.537413073713495,191091,0
33,20.400292565445024,39.9849,0.20200775681341718,3.1421,3.5353879581151832,7.8861,18.847260314136125,71.4286,14.787966597077244,100.0,11.054349276974417,46.07,11.04680533926585,79.2,57.67538247566064,1623111,0
34,18.74458408376963,40.7899,0.2694462264150943,3.4938,3.4482304712041887,9.5205,18.66133162303665,41.4634,15.513982513089006,19.4915,9.199555061179087,33.78,9.201371629853277,75.7,55.2105702364395,1144892,0
