dep,mean_error,mae,std_error,n
79,0.4144990891488197,1.285690517552911,1.7923615908330706,120
80,0.006109813141482788,1.2628477339777902,1.6603282375193014,119
81,-0.303662274902785,0.9431466896801377,1.2739403996515837,119
82,-0.3502675874836152,0.9664610969647816,1.2572247426823366,119
83,-0.24176893562595986,0.7424034631239743,0.9083010868356098,119
84,0.41730500365363743,2.3424960117197906,3.2959489119553003,119
85,-0.23659944554978288,0.846375424377287,1.1301314194680188,119
86,-0.2311215693549988,1.0941002213908788,1.4347225296572652,119
87,0.2191689098979525,1.3928717316831205,1.85919310404625,119
88,-0.9833522671433693,2.209775804804995,2.7759783435697987,120
89,0.36864233229089655,0.938315268153322,1.1713283877438438,119
90,-1.6002885183235436,3.5520866278834373,4.577013393440367,119
91,-0.29788243378870144,0.537761850691855,0.5641837212179986,120
92,0.5385139891808526,0.877931182901019,0.9614639832289373,120
93,0.7104606738165913,1.1451644980485807,1.1576536725658184,120
94,0.5161934015072478,0.931419308248653,1.1328803636389904,120
95,0.16674822701773367,1.0825607735645932,1.3743432693299784,119
971,-0.14859193355067504,0.44444125123655437,0.5852314611883866,120
972,0.024805353294138674,0.8995337263100907,1.4207286757701214,119
973,-0.056705256689294256,0.6091986893893764,0.8304155311749994,120
974,0.26992056143824583,0.6814357852230774,0.7969079294336268,120
976,-0.04974425985294417,0.08314431749011363,0.1408079333763417,119
